Timestamp,DO,Voltage,Current,Battery
2024-01-04T10:00:00.000Z,6.2,12.1,0.42,0.89
2024-01-04T10:05:00.000Z,6.4,12.3,0.45,0.88
2024-01-04T10:10:00.000Z,6.1,12.0,0.41,0.87
2024-01-04T10:15:00.000Z,6.3,12.2,0.43,0.86
2024-01-04T10:20:00.000Z,6.5,12.4,0.46,0.85
2024-01-04T10:25:00.000Z,6.7,12.5,0.48,0.84
2024-01-04T10:30:00.000Z,6.3,12.1,0.44,0.83
2024-01-04T10:35:00.000Z,6.6,12.3,0.47,0.82
2024-01-04T10:40:00.000Z,6.8,12.6,0.49,0.81
2024-01-04T10:45:00.000Z,6.4,12.2,0.45,0.80
2024-01-04T10:50:00.000Z,6.9,12.7,0.50,0.79
2024-01-04T10:55:00.000Z,6.5,12.3,0.46,0.78
2024-01-04T11:00:00.000Z,6.7,12.4,0.47,0.77
2024-01-04T11:05:00.000Z,6.6,12.5,0.48,0.76
2024-01-04T11:10:00.000Z,6.8,12.6,0.49,0.75
2024-01-04T11:15:00.000Z,6.3,12.1,0.44,0.92
2024-01-04T11:20:00.000Z,6.5,12.3,0.46,0.91
2024-01-04T11:25:00.000Z,6.7,12.4,0.47,0.90
2024-01-04T11:30:00.000Z,6.9,12.7,0.50,0.89
2024-01-04T11:35:00.000Z,6.4,12.2,0.45,0.88
2025-07-04 14:18:12,2.3,11.71,0.3617,62.85000000000001
2025-07-04 14:18:17,2.3,11.71,0.3788,62.85000000000001
2025-07-04 14:18:27,2.46,11.93,0.3861,63.73
2025-07-04 14:18:37,2.3,11.93,0.3763,63.73
2025-07-04 14:19:07,2.3,11.96,0.3421,63.83
2025-07-04 14:19:22,2.38,11.88,0.3519,63.54
2025-07-04 14:19:27,2.3,11.81,0.34950000000000003,63.24999999999999
2025-07-04 14:19:37,2.3,11.79,0.3543,63.14999999999999
2025-07-04 14:19:47,2.38,11.71,0.3617,62.85000000000001
2025-07-04 14:20:02,2.46,11.69,0.44229999999999997,62.75999999999999
2025-07-04 14:20:12,2.38,11.93,0.3763,63.73
2025-07-04 14:20:17,2.525,11.91,0.3861,63.63999999999999
2025-07-04 14:20:22,2.38,11.88,0.3446,63.54
2025-07-04 14:20:27,2.38,11.76,0.34700000000000003,63.05
2025-07-04 14:20:32,2.38,11.74,0.3763,62.95
2025-07-04 14:20:42,2.38,11.93,0.3935,63.73
2025-07-04 14:20:49,2.38,11.96,0.3568,63.83
2025-07-04 14:20:57,2.46,11.64,0.391,62.56
2025-07-04 14:21:02,2.3,11.84,0.3739,63.34000000000001
2025-07-04 14:21:08,2.38,11.91,0.3886,63.63999999999999
2025-07-04 14:21:12,2.46,11.91,0.3886,63.63999999999999
2025-07-04 14:21:17,2.38,11.84,0.3372,63.34000000000001
2025-07-04 14:21:22,2.46,11.64,0.391,62.56
2025-07-04 14:21:27,2.38,11.81,0.3715,63.24999999999999
2025-07-04 14:25:04,2.38,11.93,0.3617,63.73
